Course_Code,Course_Name,Taught_in_English,Total_Sections,Sections
AD115,Design StudioI 人因工程與設計 另類DIY文創微學程,False,3,"A, B, C"
AD116,Design StudioII,False,3,"A, B, C"
AD117,Art StudioI,False,3,"A, B, C"
AD118,Art StudioII,False,3,"A, B, C"
AD149,Body Aesthetics,False,1,A
AD153,Drawing,False,1,A
AD249,Animation Theory and Practice,False,1,A
AD250,2D Computer Drawing Teaching in English,True,1,A
AD251,3D Computer Drawing Teaching in English,True,1,A
AD279,Contemporary Sketch,False,1,A
AI001,Probability and Statistics Teaching in Internet,False,1,A
AI002,AI Ethics Teaching in Internet,False,1,B
AM556,Exhibition and Curator,False,1,A
AM582,Art and Design Creation ExecutionI,False,1,A
AM584,Professional Practice Community Art Festival Curation and Execution,False,1,A
AM601,Taiwanese Art History,False,1,A
AM603,Visual Arts Administration,False,1,A
AM613,Research Methodology and Paper Writing,False,1,A
AM622,Contemporary Art,False,1,A
AM654,Museum development and current issues,False,1,A
AM656,Studies for Exhibition and Practice in Contemporary Visual Art,False,1,A
AM657,Art and Cultural Industry 創新產品開發學程 創新產品開發學程,False,1,A
AM660,Cultural Creativity and Placemaking,False,1,A3
BI519,Fermentation Engineering,False,1,A
BI522,Bioprocessing Engineering,False,1,A
BI531,Biostatistics,False,1,A
BI544,Molecular Genetics Teaching in English,True,1,A
BI546,Clinical Medicine,False,1,A
BI562,Exploring Biotechnology Teaching in English,True,1,A
BI565,Seminar,False,2,A
CB542,Data Mining and Its Applications in Biomedical Domains,False,1,A
CB545,Clinical Applications of Medical Signal and Image Teaching in English,True,1,A1
CB554,Seminar,False,1,A
CB582,Big Data Analytics,False,1,A
CB584,Operating Systems Teaching in English,True,1,A
CB585,Cryptography Teaching in English,True,1,A
CB586,Computer Networking Teaching in English,True,1,A
CB589,VLSI Testing & Design,False,1,A
CB594,Cybersecurity Teaching in English,True,1,A1
CB621,Special topics on statistical genomics,False,1,A
CC125,Reading Guidance,False,1,A
CC132,Introduction to Chinese Literature,False,1,A
CC377,Chinese Painting一,False,1,A
CC484,Brief Design Introduction and Application,False,1,A
CC487,Creative Writing of Modern Chinese Literature,False,2,"A, B"
CC489,Practical Guided Tour Interpretation,False,1,A
CC509,Special Topics in Classical Chinese Literature,False,1,A
CC523,Special Topics in Chinese Thoughts,False,1,A
CC532,Special Topics in Taiwan Literature,False,1,A
CC551,Special Topics Research on Modern Poems,False,1,A
CC553,Special Topics on the Interpretation of Confucian Canons,False,1,A
CC562,Special Topics on Chinese Culture,False,1,A
CC569,Research Methodology,False,1,A
CC570,Special Topics on Ethnic Languages and Culture,False,1,A
CH103,General Chemistry,False,2,"A, B"
CH105,General Chemistry & Analysis Laboratory,False,6,"A, B"
CH115,Computer ProgrammingI,False,2,"A, B"
CH125,Introduction to Chemical Engineering & Material Science,False,1,A
CH128,General PhysicsI,False,2,"A, B"
CH129,General PhysicsII,False,4,"A, B"
CH130,CalculusI,False,2,"A, B"
CH131,CalculusII,False,4,"A, B"
CH218,Transport Phenomena and Unit OperationsI Teaching in English 全校性跨領域--綠色能源學程,True,2,"A, B"
CH220,Material Science Teaching in English 全校性跨領域--材料科技學程,True,2,A
CH222,Introduction to Electronic Material 全校性跨領域--材料科技學程,False,1,A
CH226,Organic Chemistry & Materials Laboratory,False,2,"A, B"
CH227,Physical Chemistry & Materials Laboratory,False,2,"A, B"
CH229,Cell BiologyII 生技醫藥產業學程,False,1,A
CH231,Organic ChemistryII,False,2,"A, B"
CH233,Engineering MathematicsII,False,1,A
CH235,Physical ChemistryII Teaching in English,True,2,"A, B"
CH339,Polymerization 全校性跨領域--材料科技學程,False,1,A
CH345,Inorganic Chemistry,False,4,"A, B"
CH349,Industrial Microbiology 生技醫藥產業學程,False,1,A
CH448,Inorganic Materials 全校性跨領域--材料科技學程,False,1,A
CH502,Technical Writing Teaching in English,True,1,A
CH503,Advanced Chemical Engineering Kinetics Teaching in English,True,1,A
CH511,Design for Experimental,False,1,B
CH514,Advanced Chemical Engineering Thermodynamics Teaching in English,True,1,A
CH518,Environmental Systems Engineering Teaching in English,True,1,A
CH525,Advanced Instrumental Analysis Teaching in English 全校性跨領域--材料科技學程,True,1,A
CH526,Advanced Instrumental AnalysisII,False,1,B
CH527,Polymer Physics Teaching in English,True,1,A
CH534,Special Topics on Separations Technology Teaching in English,True,1,A
CH535,Special Topics on Controlled Drug Release Teaching in English 生技醫藥產業學程,True,1,A
CH537,Special Topics on Optoelectronic Materials,False,1,B
CH539,Special Topics on Electrochemistry Teaching in English 全校性跨領域--材料科技學程,True,1,A
CH566,Special Topics on Proton-exchange-membrane Fuel Cells Teaching in English 全校性跨領域--材料科技學程,True,1,A
CH568,Inorganic Nanomaterials,False,1,B
CH570,Technical Writing,False,1,B
CH577,Chemical Vapor Deposition,False,1,B
CH578,Catalyst Principles and Applications Teaching in English 全校性跨領域--材料科技學程,True,1,A
CH586,Environmental Biotechnology 生技醫藥產業學程,False,1,B
CH589,Special Topics on Organic Semiconductor Materials,False,1,B
CH599,Biomedical Engineering Teaching in English 生技醫藥產業學程,True,1,A
CH600,Physical Chemistry of Materials Teaching in English 全校性跨領域--材料科技學程,True,1,A
CH609,Regenerative Medicine Teaching in English,True,1,A
CH610,Cellular Signal Transduction Teaching in English,True,1,A
CH617,Physical Metallurgy Teaching in English 全校性跨領域--材料科技學程,True,1,A
CH620,Analysis of Materials properties Teaching in English,True,1,A
CH623,SeminarI Teaching in English,True,1,A
CH624,SeminarII,False,1,A
CH625,Introduction to Magnetic Materials Teaching in English 全校性跨領域--材料科技學程,True,1,A
CH701,Materials and Processing of Lithium Battery Teaching in English 全校性跨領域--材料科技學程,True,1,A
CI001,Fundamental Computer Programming- C++ LabI Teaching in English,True,1,D2
CI002,Fundamental Computer Programming- C++ LabII,True,4,"A1, A2, D1, D2"
CI004,Fundamental Computer Programming- Web Programming II,False,2,"C1, C2"
CI006,Fundamental Computer ProgrammingII,False,2,"B1, B2"
CL148,"Chinese Reading, Critical Thinking, and Expression I",True,34,"A, B, C, D, E1, E2, F2, F3, G1, G2, G3, H1, H2, I1, I2, J1, J2, K1, K2, L1, L2, M, N, O, P1, P2, Q, R, S, T, U, V, W, X"
CM104,Accounting PrincipleII,True,7,"A1, C, D, E, F, G1, I"
CM106,EconomicsII,True,7,"A, C, E, F, G, H, I"
CM108,Management 休閒旅遊管理產業學程 科技與社會微學程 通訊產業與管理學程（電通學院） 通訊產業與管理學程（管院） 電子化企業學程 數位應用與管理產業學程,False,1,A1
CM113,The Commercial Law,True,9,"A, B, C, D, E, F, G, H, I"
CM114,Ethical Decisions and Corporate Social Responsibility 人文素養與多元創意微學程,False,4,"A, B, C, D"
CM115,Introduction to Computer Software and Applications Teaching in English,True,2,"G, H"
CM117,Mathematics for Management,False,1,C
CM120,English for Business Studies Teaching in English,True,1,A
CM203,Marketing Management 文創產業與管理微學程 文創產業與管理學程（人社院） 文創產業與管理學程（管院） 休閒旅遊管理產業學程 老人福祉科技跨域產業學程 金融服務業產業學程 通訊產業與管理學程（電通學院） 通訊產業與管理學程（管院） 跨文化行銷與溝通管院 跨文化行銷與溝通學程 電子化企業學程 零售產業與管理學程 數位應用與管理產業學程 醫療產業服務與行銷管理學程,True,9,"A, B, C, D, E, F, G, H, I"
CM508,Operations Management,False,1,A
CM509,Innovation and Technology Management,False,1,A
CM511,Business Research Methods Teaching in English,True,1,E
CM524,Empirical Finance Teaching in English,True,1,S1
CM525,Corporate Finance Teaching in English,True,1,S1
CM529,Advanced Managerial Accounting,False,1,S2
CM537,Network Analysis,False,1,A
CM538,Modeling and Analysis for Managerial Decision Making Teaching in English,True,1,E
CM541,Project Management,False,1,A
CM565,International Human Resource Management Teaching in English,True,1,E
CM574,Seminar on Audit Profession,False,1,S2
CM591,High-Tech Business Management,False,1,C
CM614,Accounting Seminar,False,1,S2
CM620,Transnational Management,False,1,C
CM629,Service Industry Management,False,1,C
CM633,Fixed Income Security Analysis,False,1,S1
CM636,Case Study in Finance,False,1,S1
CM647,Managerial Finance Teaching in English,True,2,"M1, M2"
CM686,International Finance and Trade Teaching in English,True,1,E
CM702,Strategic Thinking and Problem Solving,False,1,B
CM704,International Mobile Learning,False,1,B1
CM710,Big Data Analytics in Marketing,False,1,D
CM720,Organizational Behavior Theory and Practice Teaching in English,True,2,"M1, M2"
CM721,Marketing Strategy Teaching in English,True,2,"M1, M2"
CM722,Business Strategy Planning and Practice Teaching in English,True,2,"M1, M3"
CM724,Case Study Methodology in Business Research,False,1,B
CM725,Special Topics in Cultural Diversity Teaching in English,True,1,E
CM726,Local Culture and Business Application Teaching in English,True,1,E
CM733,Seminar on Finance II,False,1,S1
CM736,Empirical Statistical Analysis II,False,1,M
CM739,Blockchain in Finance 人工智慧與金融科技微學程 人工智慧與金融科技學程,False,1,S3
CM741,Data Analytics and Disruptive Technologies Teaching in English,True,1,S2
CM742,Transforming Consumer Behavior in The Digital Age Teaching in English,True,1,E
CM753,Quantitative Investing and Program Trading Practices,False,1,S1
CM755,Deep Learning,False,1,S3
CM760,Influencer Marketing,False,1,D
CM761,Sustainability Accounting and Assurance,False,1,S2
CM762,Sustainability and Corporate Governance,False,1,S3
CM901,Research Methodology for Social Sciences Teaching in English,True,1,A
CM943,Strategic Theories and Management Teaching in English,True,1,A
CM951,Special Topics in Investment Management Teaching in English,True,1,A
CM953,Behavioral Science Theories and Management Teaching in English,True,1,A
CM964,Data Analysis and Business Decision,False,1,B
CM965,Business Diagnosis,False,1,B
CM973,Management Theories and Application,False,1,B1
CS106,Computer ProgrammingI 人工智慧與生物資訊微學程 人工智慧與生物資訊學程 人工智慧與金融科技微學程 人工智慧與金融科技學程 互動多媒體微學程 互動多媒體學程 智慧校園與智慧照護學程,False,3,"A, B"
CS107,Discrete Mathematics,True,2,"A, B"
CS114,Computer ProgrammingII 人工智慧與生物資訊微學程 人工智慧與生物資訊學程 人工智慧與金融科技微學程 人工智慧與金融科技學程 互動多媒體微學程 互動多媒體學程,False,3,"A, B"
CS140,Introduction to Computer Science 計算機軟硬系統設計與整合微學程 計算機軟硬系統設計與整合學程,True,2,"A, B"
CS147,CalculusI,False,1,A
CS148,CalculusII,False,2,"A, B"
CS151,Website Programming Practice,False,1,A
CS152,General Physics,False,1,A
CS153,Circuit Theory,True,3,"A, B1"
CS154,Introduction to Medical EngineeringI,False,1,A
CS155,Introduction to Medical EngineeringII,False,1,A
CS156,Introduction to Medical Informatics,False,1,A
CS157,Competitive ProgrammingI,False,1,A
CS203,Data Structures 人工智慧與生物資訊微學程 人工智慧與生物資訊學程 互動多媒體微學程 互動多媒體學程,False,3,"A, B"
CS204,Digital System Design,False,1,A
CS205,Engineering Mathematics,False,1,A
CS206,Digital Systems Design and Practice,False,2,"A, B"
CS222,Programming Languages,False,1,A
CS226,Probability and Statistics,True,3,"A, B"
CS229,Introduction to Data Communications,False,2,"A, B"
CS233,Linear Algebra,False,3,"A, B"
CS249,Windows Programming 互動多媒體微學程 互動多媒體學程,False,1,A
CS250,Assembly Language and Computer Organization 計算機軟硬系統設計與整合微學程 計算機軟硬系統設計與整合學程,False,2,"A, B"
CS258,Introduction to Therapeutic Radiology,False,1,A
CS303,Introduction to Java 互動多媒體微學程 互動多媒體學程,False,1,A
CS305,Introduction to Operating System 計算機軟硬系統設計與整合微學程 計算機軟硬系統設計與整合學程,True,3,"A, B"
CS309,Introduction to Algorithms 人工智慧與生物資訊微學程 人工智慧與生物資訊學程 人工智慧與金融科技微學程 人工智慧與金融科技學程 金融科技微學程四,False,2,A
CS311,Introduction to Computer Networks,False,1,A
CS321,Introduction to Compiler 計算機軟硬系統設計與整合微學程 計算機軟硬系統設計與整合學程,True,2,"A, B"
CS322,Mobile Application Programming 互動多媒體微學程 互動多媒體學程,False,1,A
CS324,Windows ProgrammingII,False,1,A
CS335,Introduction to Wireless Internet,False,1,A
CS337,Cloud Computing and Services 人工智慧與金融科技微學程 人工智慧與金融科技學程 金融科技微學程二 智慧校園與智慧照護學程,False,1,A
CS341,Introduction to Biology 人工智慧與生物資訊微學程 人工智慧與生物資訊學程,False,1,A
CS349,Artificial Intelligence of Things 人工智慧與金融科技微學程 人工智慧與金融科技學程 計算機軟硬系統設計與整合微學程 計算機軟硬系統設計與整合學程 智慧校園與智慧照護學程,False,1,A
CS352,Introduction to Database System 人工智慧與生物資訊微學程 人工智慧與生物資訊學程,False,1,A
CS354,Introduction to Computer and Network Security,False,1,A
CS378,Introduction to VLSI Design 計算機軟硬系統設計與整合微學程 計算機軟硬系統設計與整合學程,False,1,A
CS380,Web Programming 互動多媒體微學程 互動多媒體學程 智慧校園與智慧照護學程,False,2,"A, B"
CS383,Introduction to Medical ImagingI,False,1,A
CS410,Information and Communication Technology for Intelligent Applications,False,1,A
CS412,Data Mining 人工智慧與生物資訊微學程 人工智慧與生物資訊學程 人工智慧與金融科技微學程 人工智慧與金融科技學程 智慧校園與智慧照護學程,False,1,A
CS416,Special ProjectI,False,1,A
CS417,Special ProjectII,False,3,"A, B, C"
CS423,Network LabI,False,1,A
CS426,Practical TrainingIII,False,3,"A, B, C"
CS427,Practical TrainingIV,False,3,"A, B, C"
CS502,Special Topics on Mobile Multimedia Networking,False,1,A
CS508,Computer Vision Teaching in English,True,1,A
CS509,Digital Learning,False,1,B
CS512,Embedded Real-Time Operating Systems,False,1,B
CS514,Human-Computer Interaction Design 互動多媒體微學程 互動多媒體學程,False,1,B
CS519,Wireless Networking,False,1,A
CS522,Interactive Video Game Development Teaching in English 互動多媒體微學程 互動多媒體學程,True,1,A
CS528,Big Data Analytics 智慧校園與智慧照護學程,False,1,A
CS529,Internet of Things,False,1,B
CS534,Biostatistics Teaching in English,True,1,A1
CS535,Computational Biology,False,1,A
CS536,Medical Informatics and Medical Decision Making,False,1,A
CS537,Bioinformatics,False,1,A
CS538,Data Mining and Its Applications in Biomedical Domains,False,1,A
CS539,Clinical Applications of Medical Signal and Image Teaching in English,True,1,A1
CS554,Seminar,False,2,A
CS555,Operating Systems Teaching in English,True,1,A
CS556,Research Project,False,2,B
CS561,Database Systems,False,1,B
CS564,Cybersecurity Teaching in English,True,1,A1
CS565,Cryptography Teaching in English,True,1,A
CS567,Image Processing 人工智慧「智慧視覺分析」微學程 人工智慧「電腦輔助診斷應用」微學程 人工智慧學程 互動多媒體微學程 互動多媒體學程 數位科技應用學程,False,1,A
CS569,Computer Graphics Teaching in English 互動多媒體微學程 互動多媒體學程,True,1,A
CS578,Computer Networking Teaching in English,True,1,A
CS606,Special Topics on Computer Assisted Instruction,False,1,A
CS624,Computation Theory,False,1,B
CS641,Artificial Intelligence Teaching in English 人工智慧與生物資訊微學程 人工智慧與生物資訊學程,True,1,A
CS646,Generative AI and Applications Teaching in English,True,1,A
CS650,Electronic Design Automation Teaching in English 計算機軟硬系統設計與整合微學程 計算機軟硬系統設計與整合學程,True,1,A
CS657,Machine Learning 人工智慧與生物資訊微學程 人工智慧與生物資訊學程 人工智慧與金融科技微學程 人工智慧與金融科技學程 智慧校園與智慧照護學程,False,1,B
CS660,Deep Learning 人工智慧與金融科技微學程 人工智慧與金融科技學程,False,1,B
CS668,VLSI Testing & Design 計算機軟硬系統設計與整合微學程 計算機軟硬系統設計與整合學程,False,1,A
CS674,Special Topics on Software Engineering,False,1,A
CS675,Special Topics on Intelligent Systems,False,1,A
CS678,Graph Theory Teaching in English,True,1,A
CS679,Special Topics on Distributed Systems,False,1,A
CS683,Special Topics on Electronic Design Automation,False,1,A
CZ105,Fundamental Statistical Analysis,False,1,A
CZ106,Energy Technology,False,1,A
CZ107,Greenhouse Gas Inventory Technology,False,1,A
CZ108,Net Zero Carbon Strategic Planning,False,1,A
CZ112,Material & Energy Balance,False,1,A
CZ114,Climate Change Impact,False,1,A
CZ123,Training Course of ISO 14067,False,1,A
Course,Course_Course,False,1,ID and Class
DE101,Calculus I Teaching in English,True,1,A
DE102,Calculus II Teaching in English,True,2,A
DE103,Computer Programming Lab.I Teaching in English 智慧製造學程,True,1,A
DE104,Computer Programming Lab.II Teaching in English 智慧製造學程,True,2,A
DE105,Introduction to Chemical Engineering & Materials Science Teaching in English,True,1,A
DE106,Introduction to Industrial Engineering Teaching in English,True,1,A
DE107,General Chemistry Teaching in English,True,1,A1
DE108,General Physics Teaching in English,True,2,A
DE110,Introduction to Mechanical Engineering Teaching in English,True,2,A
DE111,Introduction to Biotechnology and Biomedicine Teaching in English,True,2,A
DE121,Materials Science Teaching in English 全校性跨領域--材料科技學程,True,1,A
DE201,Special Topics in Engineering I Teaching in English,True,1,A
DE204,Experimental Design Teaching in English,True,1,A
DE207,Green Ergonomics & Sustainable Manufacturing Teaching in English,True,1,A
DE211,Engineering Drawing Teaching in English,True,2,A
DE217,Engineering Mathematics II Teaching in English,True,1,A1
DE218,Mechanics of Materials Teaching in English,True,1,A
DE235,Transport Phenomena and Unit Operations I Teaching in English 全校性跨領域--綠色能源學程,True,2,"A, B"
DE236,Physical Chemistry II Teaching in English,True,2,"A, B"
DE253,Linear Algebra Teaching in English,True,2,"A, B"
DE354,Production Planning and Control II Teaching in English,True,2,"A, B"
EE800,Researching Project,False,2,B
EE801,Adaptive Signal Processing,False,1,B
EE803,Signal Detection,False,1,B
EE804,Random Signal Processing,False,1,B
EE806,Deep Learning and its Vision Applications,False,1,B
EE845,Digital Signal Processing,False,1,B
EE849,Image Processing,False,1,B
EE850,Antenna Design and Characteristic Measurement,False,1,B
EE852,Science & Technology Innovation and Foresight Thinking,False,1,B
EE853,Analysis and Best Practice to High-Tech Industry,False,1,B
EE880,Fourier Optics,False,1,B
EE881,Image Inspection and Detection Technique,False,1,B
EEA112,Digital Logic Design 智慧型控制學程 數位科技應用學程 積體電路設計學程,False,2,"A, B"
EEA122,General PhysicsII Teaching in English,True,2,"A, B"
EEA124,General Physics Lab.II,False,2,"A, B"
EEA125,CalculusII,False,2,"A, B"
EEA128,Digital Logic Design Laboratory,False,2,"A, B"
EEA130,Programming Language Lab.II 智慧電網學程 數位科技應用學程,False,2,"A, B"
EEA204,Engineering MathematicsII,False,2,"A, B"
EEA206,ElectronicsII 智慧型控制學程 積體電路設計學程,False,2,"A, B"
EEA227,ElectromagneticsI 全校性跨領域--綠色能源學程 智慧電網學程,False,2,"A, B"
EEA232,Electronic Circuits ExperimentsII,False,2,"A, B"
EEA243,Advance in Electric Circuits 智慧電網學程,False,2,"A, B"
EEA305,Signals and Systems 智慧生醫學程,False,2,"A, B"
EEA478,Electrical Topics,False,1,A
EEA525,Optimal Control,False,1,A
EEA529,Stochastic Control,False,1,A
EEA531,VLSI Signal Processing Teaching in English 積體電路設計學程,True,1,A
EEA564,Communication Electronics Teaching in English 人工智慧「智慧終端晶片設計」微學程 人工智慧學程 積體電路設計學程,True,1,A
EEA588,Digital VLSI Design 人工智慧「智慧終端晶片設計」微學程 人工智慧學程 積體電路設計學程,False,1,A
EEA600,Neural Network Teaching in English 人工智慧「智慧控制與無人載具」微學程 人工智慧「智慧視覺分析」微學程 人工智慧學程 智慧型控制學程,True,1,A
EEA607,Seminar,False,1,A
EEA608,The Advanced VLSI System Design Teaching in English,True,1,A
EEA625,Computer Vision Teaching in English 人工智慧「智慧視覺分析」微學程 人工智慧「電腦輔助診斷應用」微學程 人工智慧學程 智慧生醫學程,True,1,A
EEA647,Transmission Standards of Digital Home Network 物聯網學程 數位科技應用學程,False,1,A
EEA656,Algorithms of Image Processing: Development and Applications Teaching in English,True,1,A
EEA658,Special topics on next generation network and network implementation,False,1,A
EEA665,Advanced Design and Implementation of Integrated Circuits Ⅱ,False,1,A
EEA667,Advanced Design and Implementation of Integrated Circuits Ⅳ,False,1,A
EEA677,Data Science Teaching in English,True,1,A
EEA680,Deep Learning Teaching in English 人工智慧學程 數位科技應用學程,True,1,A
EEA685,Systems Engineering,False,1,A
EEA689,Wireless Power Transfer Technology in 5G and IoT Era Teaching in English,True,1,A
EEA699,Reinforcement Learning Teaching in English 人工智慧學程,True,1,A
EEA704,Power Systems and Green Energy Teaching in English,True,1,A
EEA802,Projects Production,False,1,A
EEB101,CalculusI,False,2,"A, B"
EEB102,CalculusII,False,2,"A, B"
EEB108,Introduction to Computer Science 物聯網學程,False,2,"A, B"
EEB110,Linear Algebra 數位科技應用學程,False,2,"A, B"
EEB111,Digital Logic Design 智慧型控制學程 數位科技應用學程 積體電路設計學程,False,2,"A, B"
EEB113,Data Structures 物聯網學程 智慧生醫學程 數位科技應用學程,False,1,A
EEB116,General Physics,False,2,"A, B"
EEB118,Logic Circuit Lab. Teaching in English,True,2,"A, B"
EEB124,General Physics Lab.,False,2,"A, B"
EEB126,Programming Language Labs I 人工智慧學程,False,2,"A, B"
EEB127,Programming Language Labs II,False,2,"A, B"
EEB131,Introduction to Artificial Intelligence and Information Technology Teaching in English,True,1,A
EEB202,ElectronicsII 智慧型控制學程 積體電路設計學程,False,2,"A, B"
EEB204,Engineering MathematicsII,False,1,A
EEB206,Electronic Circuits ExperimentsII,False,2,"A, B"
EEB209,Micro-Computer Systems 物聯網學程 智慧型控制學程 數位科技應用學程,False,1,A
EEB210,ElectromagneticsI 全校性跨領域--綠色能源學程 智慧電網學程,False,1,A
EEB211,Signals and Systems 智慧生醫學程,False,2,"A, B"
EEB215,Introduction to Computer Vision and Image Processing,False,1,A
EEB216,Game Programming,False,1,A
EEB221,Electrical Topics,False,1,A
EEB222,Introduction to Cloud Computing Teaching in English,True,1,A
EEB312,Communications Network 物聯網學程,False,2,"A, B"
EEB501,Research Project,False,2,A
EEB502,Seminar,False,2,A
EEB504,Microwave Engineering,False,1,A
EEB505,High Frequency Circuit Design,False,1,A
EEB507,Antenna Theory,False,1,A
EEB512,Coding Theory,False,1,A
EEB515,Advanced High-Frequency Circuit Design,False,1,A
EEB523,Software Defined Radio With Lab.,False,1,A
EEB524,Micro-wave Measurements and Experiments,False,1,A
EEB532,Pattern Recognition Teaching in English,True,1,A
EEB555,Electromagnetics for high speed digital system design Teaching in English,True,1,A
EEB560,Advanced to Electromagnetic Compatibility,False,1,A
EEB561,Antenna Design and Characteristic Measurement,False,1,A
EEB564,Introduction to RF System Design for Mobile Communications Systems,False,1,A
EEB567,Network Programming and Applications 物聯網學程,False,1,A
EEB569,Machine Learning Teaching in English 人工智慧「智慧控制與無人載具」微學程 人工智慧「智慧視覺分析」微學程 人工智慧「電腦輔助診斷應用」微學程 物聯網學程,True,1,A
EEB570,Programming with Mobile Applications 物聯網學程,False,1,A
EEB580,Software Defined Networking: Innovative Applications and Practice,False,1,A
EEB582,Database Systems,False,1,A
EEB584,"Internet of Things: Introduction, Technologies, and Applications Teaching in English 物聯網學程",True,1,A
EEB585,Neural Networks and Deep Learning Teaching in English,True,1,A
EEB589,5G Network Function Virtualization: Introduction and Applications,False,1,A
EEB592,Science & Technology Innovation and Foresight Thinking,False,1,A
EEB593,Robotics Teaching in English,True,1,A
EEB601,Field Study,False,2,A
EEB602,Low Orbit Satellite Communications: an Introduction to Ground Station System Engineering,False,1,A
EEB608,Orthogonal Frequency Division Multiplexing and Orthogonal Time Frequency Space Modulation,False,1,A
EEC101,General PhysicsI Teaching in English,True,1,A
EEC102,General PhysicsII Teaching in English,True,1,A
EEC103,General Physics Lab.I,False,1,A
EEC105,CalculusI Teaching in English,True,1,A
EEC106,CalculusII Teaching in English,True,1,A
EEC107,Introduction to Computer Science 物聯網學程,False,1,A
EEC110,Linear Algebra 數位科技應用學程,False,1,A
EEC113,Programming Language Lab I,False,1,A
EEC114,Programming Language Lab II,False,1,A
EEC115,Introduction of Electronic Engineering,False,1,A
EEC116,Introduction to Semiconductor Industry,False,1,A
EEC117,Quantum Computers and Quantum,False,1,A
EEC201,Circuit Theory 智慧型控制學程 智慧電網學程,False,1,A
EEC202,Engineering MathematicsI,False,1,A
EEC203,Engineering MathematicsII,False,1,A
EEC204,ElectronicsI 全校性跨領域--材料科技學程 全校性跨領域--綠色能源學程 智慧型控制學程 智慧電網學程 積體電路設計學程,False,1,A
EEC205,ElectronicsII 智慧型控制學程 積體電路設計學程,False,1,A
EEC206,Electronic Circuits Lab.I,False,1,A
EEC207,Electronic Circuits Lab.II Teaching in English,True,1,A
EEC208,ElectromagneticsI 全校性跨領域--綠色能源學程 智慧電網學程,False,1,A
EEC214,Semiconductor Optics,False,1,A
EEC215,Semiconductor Optics Laboratory,False,2,"A, B"
EEC216,Electrical Topics,False,1,A
EEC308,ElectromagneticsII 智慧電網學程,False,1,A
EEC313,Photonics Industry 通訊產業與管理學程（電通學院） 通訊產業與管理學程（管院）,False,1,A
EEC321,Electro-Optics Programming,False,1,A
EEC323,Photonics Applications of Embedded Systems,False,1,A
EEC414,Colorimetry 數位科技應用學程,False,1,A
EG003,Fundamental Computer ProgrammingI,False,2,"A, B"
EG005,Fundamental Computer ProgrammingII,False,2,"A, B"
EG007,Fundamental Computer Programming I,False,2,"A, B"
EG008,Fundamental Computer Programming I 智慧製造學程,True,3,"A, B, C"
EG009,Fundamental Computer ProgrammingII,False,2,"A, B"
EG010,Fundamental Computer ProgrammingII 智慧製造學程,True,3,"A, B, C"
EG201,Introduction to Intelligent Production 工業4.0－智慧生產學程 智慧製造學程,False,2,A
EI101,CalculusI Teaching in English,True,1,A
EI103,General PhysicsI Teaching in English,True,2,"A, B"
EI105,Introduction to Computer Science Teaching in English,True,1,A
EI109,Programming Language LabsI Teaching in English,True,1,A
EI111,Science and Technology English Conversation Teaching in English,True,1,A
EI115,Linear Algebra Teaching in English,True,1,A
EI201,ElectronicsI Teaching in English,True,1,A
EI203,Engineering MathematicsI Teaching in English,True,1,A
EI205,Circuit Theory Teaching in English,True,1,A
EI207,Electronic Circuits ExperimentsI Teaching in English,True,1,A
EI209,Science and Technology English Writing Teaching in English 專業科技傳播學程,True,1,A
EI211,Probability for Engineers,False,2,"A, B"
EI219,Data Structures,False,2,"A, B"
EI221,Innovations in Medical High-Tech Applications Teaching in English,True,1,A
EL112,Japanese Conversation,False,1,C
EL137,JapaneseII,False,5,"A, B, E, F, I"
EL139,JapaneseIV,False,4,"E, F, G, J"
EL162,JapaneseVI,False,1,C
EL170,Mandarin ChineseI,False,11,"A, B, C, D"
EL171,Mandarin ChineseII,False,8,"A, B, C"
EL220,Learning English Through Films Teaching in English,True,10,"A, B, C, D, D1, E, E1, F, G, H"
EL221,English Through Literature & Reading,False,4,"A, C, E, G"
EL222,English for Engineering & Technology,False,5,"A, B1, D, F1, H"
EL223,Media & News English Teaching in English,True,2,"C, G"
EL224,English Around the World 寰宇文化微學程,False,2,"E, H"
EL225,Business English,False,5,"A, C, D, F, H"
EL226,Learning English Through the Internet 寰宇文化微學程,False,3,"A, C, D"
EL227,Practical English Writing,True,6,"D1, D2, D3, D4, H1, H2"
EL228,Oral English Communication Teaching in English 寰宇文化微學程,True,7,"A, C, D, F, G, H, J"
EL231,Business English: Ethical issues in a Global Economy Teaching in English,True,2,"C1, G1"
